id,channel_id,duration(sec),domain
iHZrSZOV-XQ,UCLJi2Zps15e1jCCIUfZaPCA,1098,music
iHbPHO9BBj8,UCtR3hDuN5BMW9PHo9GTqTwQ,319,music
iI38gneyM78,UCLJi2Zps15e1jCCIUfZaPCA,464,music
iIikjuUaJu8,UCijCXB1S7FVC6GnJ2t8qw7Q,199,music
iJ0s6VQXoAw,UCijCXB1S7FVC6GnJ2t8qw7Q,235,music
iKgKkW2SPUo,UCijCXB1S7FVC6GnJ2t8qw7Q,222,music
iKxhrNJ53Cw,UCtR3hDuN5BMW9PHo9GTqTwQ,250,music
iLEWYAnRysg,UCnp316OSAy7OfcmYEESwjuw,345,music
iLWZIZYonDc,UCNMujyFCJxcHlvIMekaBuDw,192,music
iLjP-SdzHoY,UCijCXB1S7FVC6GnJ2t8qw7Q,220,music
iMcE2ywSiO8,UCNMujyFCJxcHlvIMekaBuDw,322,music
iNRdyDLdV5M,UC41hszq3ex3RFkRD9rAFO-w,248,music
iNgygiZgZ0g,UCvjnIKVz_oky21epj5WNtmQ,279,music
iNuIVt_jmno,UCvjnIKVz_oky21epj5WNtmQ,207,music
iO5TawSnqLU,UCijCXB1S7FVC6GnJ2t8qw7Q,173,music
iOCbf2438cA,UCtK-nd3rPl_eLeMappMWcWw,356,music
iOePEfHvlzM,UC41hszq3ex3RFkRD9rAFO-w,308,music
iOg-SyFYH-s,UCijCXB1S7FVC6GnJ2t8qw7Q,286,music
iOrxBvbCdew,UCvjnIKVz_oky21epj5WNtmQ,411,music
iOt-OAF3Ye4,UCijCXB1S7FVC6GnJ2t8qw7Q,329,music
iPPo2mjHATA,UCijCXB1S7FVC6GnJ2t8qw7Q,233,music
iPZkWjoxexA,UCijCXB1S7FVC6GnJ2t8qw7Q,190,music
iQusI_QeGc4,UCcKniBuAZLpR6NhZPZVLSOA,175,music
iU0RmujXxCU,UCijCXB1S7FVC6GnJ2t8qw7Q,187,music
iUUqN4BiBX0,UCijCXB1S7FVC6GnJ2t8qw7Q,269,music
iVeCvGo6fJE,UCijCXB1S7FVC6GnJ2t8qw7Q,213,music
iWb7yCkkepA,UC4SqF4b1eqJal3b4RmOzP1w,381,music
iXHgqq1UOwQ,UCynPU4fxviv6LMJiuizKqiQ,656,tv serials
iYI_eAwjbE8,UCynPU4fxviv6LMJiuizKqiQ,794,tv serials
isgffjGp5Ik,UCNMujyFCJxcHlvIMekaBuDw,423,music
iYOO0LntY3E,UCKEQRtPWHkth-qAgpXkGTiA,241,music
iZJ7S991oII,UC53hni8_3I0RHuRZNQg3DCg,269,vlogs
iZkNX_CLdLs,UCCVwvfRvKZBH-WVv5701iwQ,279,music
iZoO19IyAU0,UCtK-nd3rPl_eLeMappMWcWw,386,music
iaGyUJ3H08w,UCLJi2Zps15e1jCCIUfZaPCA,685,music
iaaLMCEjXR8,UC41hszq3ex3RFkRD9rAFO-w,491,music
ibyV5ZokLBA,UCLJi2Zps15e1jCCIUfZaPCA,755,music
id8fn8wZ_9k,UC41hszq3ex3RFkRD9rAFO-w,420,music
ie2R86wK-8g,UC6OH4tj0WzUsxxx_C3K5q5A,697,"entertainment talk shows,vlogs"
ieb1c6ltLSQ,UCijCXB1S7FVC6GnJ2t8qw7Q,286,music
ikaD_pYAWeI,UCijCXB1S7FVC6GnJ2t8qw7Q,343,music
ifH4fouPbCI,UCKEQRtPWHkth-qAgpXkGTiA,223,music
ifOBzvprY_A,UC73lNsweYibxCeQ3r48YUAQ,458,vlogs
ifU57xw6BUU,UC41hszq3ex3RFkRD9rAFO-w,246,music
igL-uv9DcZs,UCtK-nd3rPl_eLeMappMWcWw,351,music
ig_RS9HR3og,UCLJi2Zps15e1jCCIUfZaPCA,301,music
iiGP3BdjZws,UC41hszq3ex3RFkRD9rAFO-w,367,music
ij07lguBiE0,UC6OH4tj0WzUsxxx_C3K5q5A,305,"entertainment talk shows,vlogs"
il6Q0rusTqg,UCijCXB1S7FVC6GnJ2t8qw7Q,182,music
in3AYk1B2Oc,UCtK-nd3rPl_eLeMappMWcWw,507,music
io6-OkLci-M,UCijCXB1S7FVC6GnJ2t8qw7Q,209,music
io_czSmK554,UCtR3hDuN5BMW9PHo9GTqTwQ,322,music
m7ODw0Bejto,UCijCXB1S7FVC6GnJ2t8qw7Q,212,music
ioqJ9rcu0OU,UCijCXB1S7FVC6GnJ2t8qw7Q,210,music
iqDzHHYKeQA,UCKEQRtPWHkth-qAgpXkGTiA,232,music
iqZiu9d97EE,UCijCXB1S7FVC6GnJ2t8qw7Q,262,music
irdV7M5a9io,UCijCXB1S7FVC6GnJ2t8qw7Q,158,music
iroQ-B6lZz0,UCijCXB1S7FVC6GnJ2t8qw7Q,239,music
is7YGKVTr08,UCtR3hDuN5BMW9PHo9GTqTwQ,374,music
isjneB8dAZk,UCnp316OSAy7OfcmYEESwjuw,294,music
it8fiFNlJSc,UCnp316OSAy7OfcmYEESwjuw,320,music
itNc3m2NyxM,UCnp316OSAy7OfcmYEESwjuw,133,music
itjGfi-ygkg,UC41hszq3ex3RFkRD9rAFO-w,415,music
iu5Am_QYfio,UCvjnIKVz_oky21epj5WNtmQ,345,music
iuMR9v8c4q4,UC6OH4tj0WzUsxxx_C3K5q5A,233,"entertainment talk shows,vlogs"
iuPObU_gqTo,UCNMujyFCJxcHlvIMekaBuDw,292,music
iwXE6TFBWPM,UCtK-nd3rPl_eLeMappMWcWw,655,music
iwa3xNb6OmY,UCvjnIKVz_oky21epj5WNtmQ,621,music
ix-SbTGbNdc,UCijCXB1S7FVC6GnJ2t8qw7Q,159,music
ixEn7pCn62g,UCijCXB1S7FVC6GnJ2t8qw7Q,202,music
iyCZmU2mwmg,UCijCXB1S7FVC6GnJ2t8qw7Q,208,music
izFTlTKcEMU,UC6OH4tj0WzUsxxx_C3K5q5A,512,"entertainment talk shows,vlogs"
izrNmJR-bY8,UCnp316OSAy7OfcmYEESwjuw,296,music
j-3NalAwH70,UCtK-nd3rPl_eLeMappMWcWw,3432,music
j1J10GWa_SI,UC6OH4tj0WzUsxxx_C3K5q5A,190,"entertainment talk shows,vlogs"
j1L7C4HUnPQ,UCijCXB1S7FVC6GnJ2t8qw7Q,263,music
j1TI5qlZCCY,UCnp316OSAy7OfcmYEESwjuw,330,music
j1WTYhZOE5g,UCijCXB1S7FVC6GnJ2t8qw7Q,223,music
jh6m7-PsVW0,UC41hszq3ex3RFkRD9rAFO-w,301,music
j1bzwPJJXJw,UCtK-nd3rPl_eLeMappMWcWw,431,music
j2OPnBzuoOA,UC4SqF4b1eqJal3b4RmOzP1w,334,music
j3c1zQTBrYk,UCvjnIKVz_oky21epj5WNtmQ,459,music
j3t_dIVnlAw,UCnzCRdDfwDBERyCNPmU4CgA,359,music
j4A506ipSTc,UCvjnIKVz_oky21epj5WNtmQ,397,music
j4Sb0nvBaSk,UCijCXB1S7FVC6GnJ2t8qw7Q,249,music
j4juw_AnK6g,UCijCXB1S7FVC6GnJ2t8qw7Q,210,music
j63_mW0Uc5M,UC41hszq3ex3RFkRD9rAFO-w,320,music
jAXeAo1xOw4,UCtR3hDuN5BMW9PHo9GTqTwQ,461,music
jAa5EMaq70Q,UC4SqF4b1eqJal3b4RmOzP1w,291,music
jCBSmybx9yQ,UC41hszq3ex3RFkRD9rAFO-w,358,music
jCa7_17xvI0,UC4SqF4b1eqJal3b4RmOzP1w,340,music
jDTu8JVqmz0,UCijCXB1S7FVC6GnJ2t8qw7Q,141,music
jDwNYxD3DOs,UC6OH4tj0WzUsxxx_C3K5q5A,562,"entertainment talk shows,vlogs"
jEwov8VR_m0,UC53hni8_3I0RHuRZNQg3DCg,413,vlogs
jFQh8QrOixA,UCtK-nd3rPl_eLeMappMWcWw,827,music
jGMux4UQb9w,UC4SqF4b1eqJal3b4RmOzP1w,373,music
jGOe6npkw94,UCtR3hDuN5BMW9PHo9GTqTwQ,476,music
jGhzVE7c1Rw,UCccAwNoKhBCgCFCeJqbdapQ,189,tv serials
jGpIw5gVb7U,UCnp316OSAy7OfcmYEESwjuw,347,music
jHU1W58hbm8,UCKEQRtPWHkth-qAgpXkGTiA,279,music
jHz75OuX5k0,UC41hszq3ex3RFkRD9rAFO-w,203,music
jIrFa7SwUYo,UC41hszq3ex3RFkRD9rAFO-w,350,music
jJ8CzLppmKo,UCijCXB1S7FVC6GnJ2t8qw7Q,20,music
jJX2RiEIQs0,UC41hszq3ex3RFkRD9rAFO-w,242,music
