id,channel_id,duration(sec),domain
8jFThCMK7lM,UCUw6ERBSXLzIdNdeom9lBEQ,834,kids stories
CeQnJbuzLYs,UCHNz6DIaAJ65Flj37y0bh9A,164,education interview
RwfAut_UCEw,UCx8MbRAMH-KNJuFLKdsmZ_w,224,podcast
MbwOrGWg064,UCvm8V4Dwtz0fbPGbpk7RYAg,598,"film interview,fashion,podcast,parliament discussion,sports interview"
6fBdieSu3qE,UCx8MbRAMH-KNJuFLKdsmZ_w,830,podcast
Sh3jB-UYdyI,UCx8MbRAMH-KNJuFLKdsmZ_w,132,podcast
SR0MjopciyM,UCx8MbRAMH-KNJuFLKdsmZ_w,156,podcast
aaIL_uNFcy0,UCx8MbRAMH-KNJuFLKdsmZ_w,107,podcast
qom6hBXQEhA,UCx8MbRAMH-KNJuFLKdsmZ_w,154,podcast
VLGT5Xq_JkQ,UCx8MbRAMH-KNJuFLKdsmZ_w,123,podcast
8BTDBSBZkH4,UCvg5Vl6BbhFUAEZWLueMJyA,304,health
8HK1QoGz7WY,UCx8MbRAMH-KNJuFLKdsmZ_w,87,podcast
eXqof_KbybQ,UCq5CWFa5iSGvSdGXTtiBqDw,232,educational videos
9IcHQVMyxds,UCx8MbRAMH-KNJuFLKdsmZ_w,279,podcast
Q3iLYtdsDYc,UCvm8V4Dwtz0fbPGbpk7RYAg,387,"film interview,fashion,podcast,parliament discussion,sports interview"
Hj9mmTLgJf4,UCvm8V4Dwtz0fbPGbpk7RYAg,862,"film interview,fashion,podcast,parliament discussion,sports interview"
3CHnN8VIcfQ,UCx8MbRAMH-KNJuFLKdsmZ_w,241,podcast
LeHNFPCs3ls,UCj5eGAka22pGvd8JMsQglSQ,121,astrology
gwTOYgU4w8Y,UCvm8V4Dwtz0fbPGbpk7RYAg,90,"film interview,fashion,podcast,parliament discussion,sports interview"
3GH14eN3S8A,UCx8MbRAMH-KNJuFLKdsmZ_w,262,podcast
464kTIrbH4Q,UCx8MbRAMH-KNJuFLKdsmZ_w,203,podcast
ZdOE8pnUxnw,UCx8MbRAMH-KNJuFLKdsmZ_w,510,podcast
3uQfxqmT0ik,UCx8MbRAMH-KNJuFLKdsmZ_w,1432,podcast
0vJ7HOO_wE4,UCx8MbRAMH-KNJuFLKdsmZ_w,445,podcast
100zEqEfK6c,UCx8MbRAMH-KNJuFLKdsmZ_w,199,podcast
orNv-qXopk4,UCx8MbRAMH-KNJuFLKdsmZ_w,71,podcast
6L7aBuULbjA,UCx8MbRAMH-KNJuFLKdsmZ_w,938,podcast
gpAYF9zs2QE,UCx8MbRAMH-KNJuFLKdsmZ_w,88,podcast
6K0whX5_idA,UCx8MbRAMH-KNJuFLKdsmZ_w,584,podcast
1gh0QQ8-oBE,UCx8MbRAMH-KNJuFLKdsmZ_w,201,podcast
a2N_fT0OpGs,UCx8MbRAMH-KNJuFLKdsmZ_w,228,podcast
1W6MHDNJXXg,UCx8MbRAMH-KNJuFLKdsmZ_w,139,podcast
tD8I-aT-a4o,UCx8MbRAMH-KNJuFLKdsmZ_w,1448,podcast
ht_g9Gcaa3g,UCx8MbRAMH-KNJuFLKdsmZ_w,873,podcast
lLNK7fzNkIg,UCvm8V4Dwtz0fbPGbpk7RYAg,139,"film interview,fashion,podcast,parliament discussion,sports interview"
KpQ0K_I7yv4,UCvm8V4Dwtz0fbPGbpk7RYAg,149,"film interview,fashion,podcast,parliament discussion,sports interview"
xdYODUPGyf4,UCPxumlwhpRDJ18oURMAvyNA,706,news talk shows
woMV1Y82plY,UCx8MbRAMH-KNJuFLKdsmZ_w,226,podcast
WtwkdxKSr-8,UCx8MbRAMH-KNJuFLKdsmZ_w,60,podcast
YRnbZ1TB-Ww,UCvm8V4Dwtz0fbPGbpk7RYAg,153,"film interview,fashion,podcast,parliament discussion,sports interview"
Rnhay5yipRs,UCcTWxsdSV5J51ca_CftpTsw,1037,documentary
5CBXynvDtlE,UCx8MbRAMH-KNJuFLKdsmZ_w,84,podcast
lt9STX7SXXU,UCx8MbRAMH-KNJuFLKdsmZ_w,127,podcast
vW0r2GG30p0,UCPxumlwhpRDJ18oURMAvyNA,950,news talk shows
FTjM9gxOn5s,UCx8MbRAMH-KNJuFLKdsmZ_w,121,podcast
bkwcTria_m4,UCvm8V4Dwtz0fbPGbpk7RYAg,500,"film interview,fashion,podcast,parliament discussion,sports interview"
jsgw-Dlg6Hs,UCh2tAyCpIEZlvRF9K42BbNA,246,tv serials
YV0VGGFC8mU,UCx8MbRAMH-KNJuFLKdsmZ_w,116,podcast
R8KWRp8roeQ,UCx8MbRAMH-KNJuFLKdsmZ_w,286,podcast
Pta0ZqRNDdg,UCx8MbRAMH-KNJuFLKdsmZ_w,184,podcast
4FyFN1kt79Q,UCj5eGAka22pGvd8JMsQglSQ,102,astrology
WMfd_72mPjc,UCx8MbRAMH-KNJuFLKdsmZ_w,112,podcast
Lpv3cGgckmU,UCx8MbRAMH-KNJuFLKdsmZ_w,1470,podcast
VM6aCYXMhvE,UCx8MbRAMH-KNJuFLKdsmZ_w,13,podcast
9dRwvN6cBPg,UCvm8V4Dwtz0fbPGbpk7RYAg,64,"film interview,fashion,podcast,parliament discussion,sports interview"
Du1soEFl5ms,UCvm8V4Dwtz0fbPGbpk7RYAg,86,"film interview,fashion,podcast,parliament discussion,sports interview"
GKu1QiRHyos,UCvm8V4Dwtz0fbPGbpk7RYAg,115,"film interview,fashion,podcast,parliament discussion,sports interview"
N5YBtHdN9Iw,UCvm8V4Dwtz0fbPGbpk7RYAg,141,"film interview,fashion,podcast,parliament discussion,sports interview"
K-Mp14pZ4AY,UCGLv0gKOWpleaTPAieRJiag,1270,documentary
Do1Au5uA86M,UCx8MbRAMH-KNJuFLKdsmZ_w,126,podcast
iiEpNxLlOKA,UCx8MbRAMH-KNJuFLKdsmZ_w,26,podcast
GMg8SgDaLzE,UCx8MbRAMH-KNJuFLKdsmZ_w,142,podcast
fBCOiORUccE,UCZnl4ayr-e4n7ZCjMpOsAkw,173,education debates
6wbs7gnHSYQ,UCx8MbRAMH-KNJuFLKdsmZ_w,339,podcast
DOj3a3CsiIM,UCvm8V4Dwtz0fbPGbpk7RYAg,139,"film interview,fashion,podcast,parliament discussion,sports interview"
2Gc54GKVDKQ,UCx8MbRAMH-KNJuFLKdsmZ_w,133,podcast
Cx_H3cm2AX8,UCvm8V4Dwtz0fbPGbpk7RYAg,186,"film interview,fashion,podcast,parliament discussion,sports interview"
F-QJQ26Y9Y0,UCn68MHKSGluDcSQbABxW4EQ,412,film interview
tIwHmRkXe94,UCvm8V4Dwtz0fbPGbpk7RYAg,177,"film interview,fashion,podcast,parliament discussion,sports interview"
_l0udD5g8fw,UCvm8V4Dwtz0fbPGbpk7RYAg,75,"film interview,fashion,podcast,parliament discussion,sports interview"
